Date,Price,Open,High,Low,Vol.,Change %
Jul-91,53.42,53.07,57.8,52.15,35.24K,-2.11%
Jun-91,54.57,56.7,59.25,54.3,31.32K,-3.07%
May-91,56.3,59.07,59.25,56.15,70.80K,-4.45%
Apr-91,58.92,52.35,59,51.65,40.18K,10.92%
Mar-91,53.12,52.02,54.95,51.42,70.94K,2.41%
Feb-91,51.87,52.45,53.7,48.4,42.08K,-1.01%
Jan-91,52.4,48.6,54.45,48,77.25K,7.22%
Dec-90,48.87,51.35,51.5,48.52,41.29K,-3.99%
Nov-90,50.9,51.95,54.7,50.02,92.08K,-1.68%
Oct-90,51.77,56.32,58.92,51.05,55.94K,-5.56%
Sep-90,54.82,48.35,55.8,48.3,65.02K,13.50%
Aug-90,48.3,60.9,61.3,47.62,50.22K,-21.10%
Jul-90,61.22,61.45,64.4,58.87,45.94K,1.36%
Jun-90,60.4,65.57,66.85,57.82,50.83K,-7.79%
May-90,65.5,63.5,67.45,62.8,95.28K,3.77%
Apr-90,63.12,53.5,63.7,53.32,47.95K,18.20%
Mar-90,53.4,50.47,54.3,49.4,78.81K,6.06%
